time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.820621967584602e-07,1.9039398837968541e-06,10.00524136938638,0.0011093487222364473,0.0006661745565645916,0.0,-7.73512031661471e-05,0.00014223785855971185,0.1747009434174862,0.04127190948343054,0.02716121434778431,0.0,458.71533411330665,460.8667075746713,458.55522443096675,461.8215626429155
0.12000000000000001,-2.9147308302911152e-05,4.860848973184061e-05,10.022453331506401,0.003260042519616313,0.001990485295843669,0.0,-0.001042531697110812,0.0016968717477162504,0.39897843444504055,0.021850317189799275,0.009208322824724051,0.0,475.7588546941772,474.38251734088885,475.17850227205344,473.6880387549787
0.18,-0.0001388109272921366,0.00022929345302763728,10.051277407310442,0.004411130534345276,0.002445338491584792,0.0,-0.0026690872887578767,0.0044634381832335075,0.5617570078260347,0.013235779249089134,0.0041092508546958775,0.0,456.81615956126313,456.40932734822377,456.8879521978254,456.20067182326096
0.23999999999999996,-0.000346479784316687,0.0005839159165785075,10.086377871000675,0.005156552445858331,0.0027700776500036994,0.0,-0.004280136071895014,0.007429670111486831,0.6082340985554398,0.010747998125228291,0.007898881656487354,0.0,419.8213752273562,420.14992329792705,419.95658248038825,419.7406598768061
0.3,-0.0006624616489524656,0.0011390365306341722,10.125946135523128,0.005740231210102031,0.0031104194770090743,0.0,-0.006294534368820775,0.011136999318514765,0.7106489757437343,0.00760564565560615,0.0007990673760719189,0.0,438.9237475219351,438.33412475811275,437.63987581042363,437.3781623581421
0.36000000000000004,-0.001096130773906266,0.0019118463383263576,10.168895714313992,0.005921152156189713,0.0030584014101515677,0.0,-0.008161107423351098,0.0146534141563895,0.7209968990050653,-0.008264786312418535,-0.004426895639678627,0.0,409.03818335865765,408.5726047555263,407.89982214904086,406.48023297814564
0.4200000000000001,-0.0016460182628615647,0.002907777949275156,10.214537074165035,0.0051792079531329804,0.0025380864175970075,0.0,-0.010131170896507145,0.018484341062815185,0.8003295718518169,-0.022181327020679924,-0.01891004465842464,0.0,430.5383067890142,429.31144542634286,432.34966608502924,431.175820332143
0.48000000000000015,-0.0022994818873372765,0.004112426256937772,10.264261521726349,0.0034095407660954535,0.0018615102930654714,0.0,-0.011567363300045312,0.021528811504351694,0.8571116695386767,-0.05107306662378128,0.0007650851971199215,0.0,422.5065255003444,424.19929956592244,425.1587493435581,422.6759486390975
0.5400000000000001,-0.003036228906298838,0.0054697262910948985,10.320897206765435,0.0007950544341728261,0.001579324866203713,0.0,-0.012980897956110739,0.023397094890162277,1.0306047909753953,-0.031707354235269006,-0.01884445133149252,0.0,461.15623774866873,459.60494092038164,459.63406378197135,461.164983951725
0.6000000000000002,-0.0038480122191553866,0.0068844533620799125,10.389160765938554,6.282296304185474,0.00034645161026780613,0.0,-0.013938070509020465,0.023548185413361872,1.2446391252729914,-0.021634698964543335,-0.024192825296824844,0.0,473.4219246380388,473.01031371235814,471.9320098388742,472.70857553872094
0.6600000000000003,-0.004686310539937287,0.008274285049929954,10.46662073268176,6.280581273690473,6.282452952017094,0.0,-0.0138798012804746,0.02263369043277158,1.337255588874828,-0.04848807455576771,-0.007795986410300697,0.0,435.40800908770075,436.7775173406612,437.2381894528168,434.9950938388073
0.7200000000000003,-0.005501348304556843,0.00955875924036032,10.552584307161903,6.277638267161919,6.282843777495689,0.0,-0.01329467571529552,0.019845130294155293,1.5279605748623102,-0.050198158077676115,0.025754099490259037,0.0,464.7423648853753,467.36435655496416,467.0915041841367,466.95677044861026
0.7800000000000004,-0.006297904891910249,0.010615340841871743,10.648625508446985,6.274923525283878,0.0013013099624767932,0.0,-0.013430663731396876,0.015065879516456607,1.6732095165565393,-0.036832295088811376,0.030449584411777024,0.0,452.65653838972753,453.03437569795045,453.2364472347589,454.30811274066326
0.8400000000000004,-0.007149419762617322,0.011280112835726832,10.758926857195199,6.272517382565351,0.0034558639219612886,0.0,-0.015225415715610409,0.00678516868179664,2.0029817046470573,-0.047608392264544615,0.04505001908883602,0.0,506.7245243937754,507.7733150864697,507.48875652032024,506.71410637127406
0.9000000000000005,-0.00815359778194914,0.01143025078546105,10.884386081744433,6.26942657346946,0.005918851768817568,0.0,-0.01854001217719435,-0.0021119133692824826,2.1786693573338143,-0.060762327034608626,0.03152805740960541,0.0,464.1594481406112,463.09789927470564,465.08613283088715,464.0531639610487
0.9600000000000005,-0.009404743530762776,0.01098434269950521,11.019561593114611,6.265815953696848,0.007369845959260601,0.0,-0.023353114144360657,-0.01314334534716545,2.326884064896418,-0.0590318011503616,0.0024488839035703633,0.0,457.8957326054605,455.57670905256344,456.14057386590247,456.2762827747683
1.0200000000000005,-0.010966131366302636,0.00980743993700957,11.163069289267503,6.2625107487460685,0.008080295048944919,0.0,-0.0287416629240638,-0.026444916951122076,2.4564291736324244,-0.0481807529976607,0.026001861374616984,0.0,450.7043906478913,452.6038347655066,450.6563056707646,451.5304902953952
1.0800000000000005,-0.01284005025719253,0.007842618491460774,11.310637689517288,6.259980779288917,0.009729350262364989,0.0,-0.0338637167097182,-0.03928567740860942,2.462497512342285,-0.032253950284076724,0.030294997946096237,0.0,412.00999986877895,412.3896357067402,411.3752297991734,412.78190874335274
1.1400000000000006,-0.01509651095145085,0.004962343269150206,11.462922790042931,6.2578585732642225,0.012330716997979607,0.0,-0.04159910189836194,-0.056936707779475404,2.613331355534927,-0.04247073857113288,0.06140665657436531,0.0,456.6511655023319,459.1270287832999,459.56116515258753,458.7501231000334
